dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS95,0.7440125,0.7446320498251937,0.7440125,0.7438446447006136,13,80,0.7439978606717927,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS90,0.7444625,0.7456637823460642,0.7444625,0.7441418834117361,16,80,0.7444422258187109,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1000,HD,0.72245,0.7246833202663873,0.72245,0.7217714077972567,4,80,0.7224784713694445,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1000,JS,0.72245,0.7246833202663873,0.72245,0.7217714077972567,4,80,0.7224784713694445,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,Base,0.70105,0.708266212797844,0.70105,0.6984652721847963,0,53,0.70110330430228,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS95,0.7380875,0.7387320435984303,0.7380875,0.7379045026453462,9,53,0.7380723843376821,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS90,0.736275,0.7364528811702198,0.736275,0.7362221137429986,15,53,0.7362669346782552,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,HD,0.71315,0.7167838505425065,0.71315,0.7119605600435905,6,53,0.7131870214224589,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,JS,0.71315,0.7167838505425065,0.71315,0.7119605600435905,6,53,0.7131870214224589,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,Base,0.7022875,0.7090856261791526,0.7022875,0.6998741551658964,0,40,0.7023391300233748,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS95,0.7284375,0.7285449308760819,0.7284375,0.7284028419771749,8,40,0.7284310780250253,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS90,0.726025,0.7260266221352222,0.726025,0.7260241225911931,9,40,0.7260240325416958,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,HD,0.7230125,0.7234099602757661,0.7230125,0.7228946462630613,7,40,0.7230244331124531,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,JS,0.7192,0.7201033302091655,0.7192,0.7189200188062198,5,40,0.7192182209165243,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,Base,0.7044625,0.7106853377094855,0.7044625,0.7022888326740394,0,32,0.7045117013666813,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS95,0.7172,0.718005083414195,0.7172,0.7169467636594999,7,32,0.7172172715049604,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS90,0.7172,0.718005083414195,0.7172,0.7169467636594999,7,32,0.7172172715049604,1.0,parallel_abrupt,synthetic,NB,24,24042
