dataset,batch_size,technique,phase,duration_seconds,type
Incremental-abrupt-reoccurring (bal.),1000,KSDDM_90,drift_detection,3.801153125008568,technique_timing
Incremental-abrupt-reoccurring (bal.),1000,JSDDM,drift_detection,1.2030509169853758,technique_timing
Incremental-abrupt-reoccurring (bal.),1500,HDDDM,drift_detection,1.1591804579948075,technique_timing
Incremental-abrupt-reoccurring (bal.),1500,KSDDM_95,drift_detection,4.077798167010769,technique_timing
Incremental-abrupt-reoccurring (bal.),1500,KSDDM_90,drift_detection,3.1860052499978337,technique_timing
Incremental-abrupt-reoccurring (bal.),1500,JSDDM,drift_detection,1.0100437910004985,technique_timing
Incremental-abrupt-reoccurring (bal.),2000,HDDDM,drift_detection,1.0488675000087824,technique_timing
Incremental-abrupt-reoccurring (bal.),2000,KSDDM_95,drift_detection,4.104558749997523,technique_timing
Incremental-abrupt-reoccurring (bal.),2000,KSDDM_90,drift_detection,4.122548499988625,technique_timing
Incremental-abrupt-reoccurring (bal.),2000,JSDDM,drift_detection,0.9241908749972936,technique_timing
Incremental-abrupt-reoccurring (bal.),2500,HDDDM,drift_detection,1.0758929169969633,technique_timing
Incremental-abrupt-reoccurring (bal.),2500,KSDDM_95,drift_detection,3.160923792020185,technique_timing
Incremental-abrupt-reoccurring (bal.),2500,KSDDM_90,drift_detection,3.110839750006562,technique_timing
Incremental-abrupt-reoccurring (bal.),2500,JSDDM,drift_detection,0.9296342089946847,technique_timing
Incremental-abrupt-reoccurring (imbal.),1000,HDDDM,drift_detection,8.528782582987333,technique_timing
Incremental-abrupt-reoccurring (imbal.),1000,KSDDM_95,drift_detection,37.247875708009815,technique_timing
Incremental-abrupt-reoccurring (imbal.),1000,KSDDM_90,drift_detection,32.11645450000651,technique_timing
Incremental-abrupt-reoccurring (imbal.),1000,JSDDM,drift_detection,7.549617665994447,technique_timing
Incremental-abrupt-reoccurring (imbal.),1500,HDDDM,drift_detection,6.914823958999477,technique_timing
Incremental-abrupt-reoccurring (imbal.),1500,KSDDM_95,drift_detection,30.166599125019275,technique_timing
Incremental-abrupt-reoccurring (imbal.),1500,KSDDM_90,drift_detection,23.885457333992235,technique_timing
Incremental-abrupt-reoccurring (imbal.),1500,JSDDM,drift_detection,5.76670804200694,technique_timing
Incremental-abrupt-reoccurring (imbal.),2000,HDDDM,drift_detection,5.897401916998206,technique_timing
Incremental-abrupt-reoccurring (imbal.),2000,KSDDM_95,drift_detection,26.912819209013833,technique_timing
Incremental-abrupt-reoccurring (imbal.),2000,KSDDM_90,drift_detection,22.80501599999843,technique_timing
Incremental-abrupt-reoccurring (imbal.),2000,JSDDM,drift_detection,5.349123040999984,technique_timing
Incremental-abrupt-reoccurring (imbal.),2500,HDDDM,drift_detection,5.716534709004918,technique_timing
Incremental-abrupt-reoccurring (imbal.),2500,KSDDM_95,drift_detection,24.399064124998404,technique_timing
Incremental-abrupt-reoccurring (imbal.),2500,KSDDM_90,drift_detection,23.70448762498563,technique_timing
Incremental-abrupt-reoccurring (imbal.),2500,JSDDM,drift_detection,5.012938041007146,technique_timing
Incremental-reoccurring (bal.),1000,HDDDM,drift_detection,1.956614416994853,technique_timing
Incremental-reoccurring (bal.),1000,KSDDM_95,drift_detection,4.678404167003464,technique_timing
Incremental-reoccurring (bal.),1000,KSDDM_90,drift_detection,4.386138417001348,technique_timing
Incremental-reoccurring (bal.),1000,JSDDM,drift_detection,1.7534212919999845,technique_timing
Incremental-reoccurring (bal.),1500,HDDDM,drift_detection,1.6810318749921862,technique_timing
Incremental-reoccurring (bal.),1500,KSDDM_95,drift_detection,4.553861666994635,technique_timing
Incremental-reoccurring (bal.),1500,KSDDM_90,drift_detection,4.023712584021268,technique_timing
Incremental-reoccurring (bal.),1500,JSDDM,drift_detection,1.5009176250023302,technique_timing
Incremental-reoccurring (bal.),2000,HDDDM,drift_detection,1.5899682080198545,technique_timing
Incremental-reoccurring (bal.),2000,KSDDM_95,drift_detection,3.7978440829901956,technique_timing
Incremental-reoccurring (bal.),2000,KSDDM_90,drift_detection,3.093222291005077,technique_timing
Incremental-reoccurring (bal.),2000,JSDDM,drift_detection,1.4608767500030808,technique_timing
